Location,Price,Price per m2,Size M2,Rooms
"Warszawa, Wola, Mirów, Grzybowska",786 030 zł,21 950 zł/m²,35.81 m²,2 pokoje
"Warszawa, Praga-Północ",615 000 zł,10 982 zł/m²,56 m²,3 pokoje
"Warszawa, Ursynów, Stefana Szolc-Rogozińskiego",737 000 zł,10 000 zł/m²,73.7 m²,4 pokoje
"Warszawa, Śródmieście, Powiśle, Zajęcza",2 450 000 zł,20 940 zł/m²,117 m²,4 pokoje
"Warszawa, Śródmieście, Śródmieście Południowe",656 000 zł,20 000 zł/m²,32.8 m²,2 pokoje
"Warszawa, Ochota, ul. Włodarzewska",770 000 zł,12 460 zł/m²,61.8 m²,2 pokoje
"Warszawa, Śródmieście, Wiejska",6 800 000 zł,34 396 zł/m²,197.7 m²,5 pokoi
"Warszawa, Ursus, Gołąbki",1 999 000 zł,7901 zł/m²,253 m²,5 pokoi
"Warszawa, Śródmieście, Nowe Miasto",919 000 zł,18 055 zł/m²,50.9 m²,2 pokoje
"Warszawa, Bemowo, Chrzanów, Batalionów Chłopskich",802 000 zł,11 682 zł/m²,68.65 m²,3 pokoje
"Warszawa, Wola, Józefa Sowińskiego",815 000 zł,13 967 zł/m²,58.35 m²,3 pokoje
"Warszawa, Śródmieście",1 299 000 zł,27 697 zł/m²,46.9 m²,2 pokoje
"Warszawa, Mokotów",6 060 000 zł,20 000 zł/m²,303 m²,5 pokoi
"Warszawa, Wola",619 000 zł,12 684 zł/m²,48.8 m²,2 pokoje
"Warszawa, Mokotów, Przejazd",850 000 zł,14 912 zł/m²,57 m²,2 pokoje
"Warszawa, Praga-Północ, Białostocka",841 600 zł,12 948 zł/m²,65 m²,3 pokoje
"Warszawa, Ursynów, Imielin, Bekasów",1 200 000 zł,12 766 zł/m²,94 m²,3 pokoje
"Warszawa, Wola, Siedmiogrodzka",2 000 000 zł,23 966 zł/m²,83.45 m²,3 pokoje
"Warszawa, Śródmieście, Niska",680 000 zł,17 989 zł/m²,37.8 m²,2 pokoje
"Warszawa, Mokotów, Kartaginy",535 000 zł,11 146 zł/m²,48 m²,2 pokoje
"Warszawa, Bemowo, Babimojska",1 080 000 zł,13 500 zł/m²,80 m²,4 pokoje
"Warszawa, Wola, ul. Kajetana Garbińskiego",439 000 zł,11 814 zł/m²,37.16 m²,2 pokoje
"Warszawa, Białołęka, Głębocka",669 000 zł,9838 zł/m²,68 m²,3 pokoje
"Warszawa, Mokotów, Służewiec, Obrzeżna",600 000 zł,15 682 zł/m²,38.26 m²,1 pokój
"Warszawa, Mokotów, ul. Dolna",699 000 zł,14 532 zł/m²,48.1 m²,2 pokoje
"Warszawa, Bielany, Wrzeciono",350 000 zł,14 286 zł/m²,24.5 m²,1 pokój
"Warszawa, Ochota, Szczęśliwice, Lirowa",850 000 zł,16 899 zł/m²,50.3 m²,2 pokoje
"Warszawa, Ochota, Rakowiec",2 700 000 zł,13 171 zł/m²,205 m²,6 pokoi
"Warszawa, Targówek, ul. Piotra Wysockiego 20",360 000 zł,11 613 zł/m²,31 m²,1 pokój
"Warszawa, Wawer",1 875 000 zł,13 993 zł/m²,134 m²,3 pokoje
"Warszawa, Ochota",1 895 000 zł,19 258 zł/m²,98.4 m²,4 pokoje
"Warszawa, Białołęka, Gioacchino Rossiniego",780 000 zł,11 471 zł/m²,68 m²,3 pokoje
"Warszawa, Ursynów, Polki",1 198 670 zł,17 000 zł/m²,70.51 m²,3 pokoje
"Warszawa, Śródmieście, Stanisława Noakowskiego 10",819 000 zł,17 123 zł/m²,47.83 m²,2 pokoje
"Warszawa, Praga-Południe",959 000 zł,6101 zł/m²,157.2 m²,5 pokoi
"Warszawa, Praga-Południe",560 001 zł,13 023 zł/m²,43 m²,2 pokoje
"Warszawa, Wola, Skierniewicka",1 020 000 zł,17 000 zł/m²,60 m²,3 pokoje
"Warszawa, Targówek, Bródno, Żuromińska",720 000 zł,14 179 zł/m²,50.78 m²,3 pokoje
"Warszawa, Mokotów, al. Wilanowska",2 900 000 zł,10 309 zł/m²,281.3 m²,6 pokoi
"Warszawa, Praga-Południe, Józefa Dwernickiego",750 000 zł,12 953 zł/m²,57.9 m²,3 pokoje
"Warszawa, Ochota",489 000 zł,13 324 zł/m²,36.7 m²,1 pokój
"Warszawa, Żoliborz, Przasnyska",1 080 000 zł,16 062 zł/m²,67.24 m²,3 pokoje
"Warszawa, Wola, Mordechaja Anielewicza",560 000 zł,11 667 zł/m²,48 m²,3 pokoje
"Warszawa, Praga-Południe",598 500 zł,9500 zł/m²,63 m²,3 pokoje
"Warszawa, Praga-Południe",570 000 zł,10 000 zł/m²,57 m²,3 pokoje
"Warszawa, Białołęka, Skarbka z Gór",583 000 zł,11 409 zł/m²,51.1 m²,3 pokoje
"Warszawa, Ursus, Jana Marcina Szancera",419 750 zł,11 500 zł/m²,36.5 m²,2 pokoje
"Warszawa, Mokotów, Jana Pohoskiego",2 350 000 zł,18 562 zł/m²,126.6 m²,4 pokoje
"Warszawa, Praga-Południe, Biskupia",670 000 zł,13 427 zł/m²,49.9 m²,2 pokoje
"Warszawa, Ursus, Henryka I Brodatego",640 000 zł,11 963 zł/m²,53.5 m²,3 pokoje
"Warszawa, Ursynów, Natolin, Meander",598 000 zł,12 770 zł/m²,46.83 m²,2 pokoje
"Warszawa, Śródmieście, Ludwika Zamenhofa",715 000 zł,16 628 zł/m²,43 m²,2 pokoje
"Warszawa, Targówek",429 000 zł,10 094 zł/m²,42.5 m²,2 pokoje
"Warszawa, Śródmieście",629 000 zł,12 942 zł/m²,48.6 m²,3 pokoje
"Warszawa, Śródmieście, Krucza",1 300 000 zł,22 807 zł/m²,57 m²,3 pokoje
"Warszawa, Praga-Północ, Targowa",1 499 000 zł,12 650 zł/m²,118.5 m²,5 pokoi
"Warszawa, Bielany, Kolektorska",3 615 200 zł,20 000 zł/m²,180.76 m²,5 pokoi
"Warszawa, Wilanów",3 200 000 zł,17 112 zł/m²,187 m²,5 pokoi
"Warszawa, Ursus, Posag 7 Panien",670 000 zł,10 635 zł/m²,63 m²,4 pokoje
"Warszawa, Białołęka, Tarchomin, Oczary",665 000 zł,9048 zł/m²,73.5 m²,3 pokoje
"Warszawa, Ursynów, Polki",1 119 125 zł,17 500 zł/m²,63.95 m²,3 pokoje
"Warszawa, Wola, Juliana Konstantego Ordona",1 265 000 zł,16 867 zł/m²,75 m²,3 pokoje
"Warszawa, Żoliborz, Gwiaździsta",1 599 000 zł,23 515 zł/m²,68 m²,3 pokoje
"Warszawa, Śródmieście, Powiśle",990 000 zł,16 337 zł/m²,60.6 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław, Komorska",635 000 zł,10 225 zł/m²,62.1 m²,5 pokoi
"Warszawa, Białołęka, ul. Modlińska",419 000 zł,12 324 zł/m²,34 m²,2 pokoje
"Warszawa, Ursus, ul. Mariana Keniga",349 000 zł,14 362 zł/m²,24.3 m²,1 pokój
"Warszawa, Ursynów, Kabaty, ul. Ksawerego Bronikowskiego",1 260 000 zł,14 824 zł/m²,85 m²,4 pokoje
"Warszawa, Bemowo",620 000 zł,12 375 zł/m²,50.1 m²,2 pokoje
"Warszawa, Ursynów, Aleja Komisji Edukacji Narodowej",509 000 zł,13 395 zł/m²,38 m²,1 pokój
"Warszawa, Ursynów, Imielin, Miklaszewskiego",545 000 zł,11 010 zł/m²,49.5 m²,2 pokoje
"Warszawa, Wola, Górczewska",474 900 zł,14 855 zł/m²,31.97 m²,1 pokój
"Warszawa, Wesoła",595 000 zł,8881 zł/m²,67 m²,3 pokoje
"Warszawa, Wawer, Anin",753 000 zł,16 921 zł/m²,44.5 m²,2 pokoje
"Warszawa, Ursynów, ul. Bronisława Pietraszewicza ""Lota""",498 000 zł,9960 zł/m²,50 m²,2 pokoje
"Warszawa, Mokotów, Służewiec, Domaniewska",515 128 zł,15 200 zł/m²,33.89 m²,1 pokój
"Warszawa, Targówek, Zacisze",399 000 zł,13 300 zł/m²,30 m²,1 pokój
"Warszawa, Praga-Południe",514 000 zł,10 936 zł/m²,47 m²,2 pokoje
"Warszawa, Ursus, ul. Konińska",390 000 zł,11 143 zł/m²,35 m²,2 pokoje
"Warszawa, Wilanów, Prymasa Augusta Hlonda",1 736 000 zł,21 700 zł/m²,80 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław",665 000 zł,10 440 zł/m²,63.7 m²,3 pokoje
"Warszawa, Ochota, Szczęśliwice",1 150 000 zł,13 466 zł/m²,85.4 m²,3 pokoje
"Warszawa, Wilanów, Herbu Janina",975 000 zł,15 439 zł/m²,63.15 m²,3 pokoje
"Warszawa, Praga-Północ, Namysłowska",345 000 zł,16 327 zł/m²,21.13 m²,1 pokój
"Warszawa, Ursynów",850 000 zł,14 407 zł/m²,59 m²,3 pokoje
"Warszawa, Ursus, ul. Posag 7 Panien",510 000 zł,10 515 zł/m²,48.5 m²,2 pokoje
"Warszawa, Ursynów, Witolda Małcużyńskiego",850 000 zł,13 407 zł/m²,63.4 m²,3 pokoje
"Warszawa, Wola, Mirów, Grzybowska",767 000 zł,26 000 zł/m²,29.5 m²,1 pokój
"Warszawa, Wola, Mirów",690 000 zł,18 110 zł/m²,38.1 m²,2 pokoje
"Warszawa, Mokotów, Czerniowiecka",1 149 000 zł,17 953 zł/m²,64 m²,2 pokoje
"Warszawa, Wilanów, Prymasa Augusta Hlonda",1 625 000 zł,18 466 zł/m²,88 m²,3 pokoje
"Warszawa, Bemowo, Rosy Bailly",792 500 zł,12 500 zł/m²,63.4 m²,3 pokoje
"Warszawa, Wola, Mirów, Krochmalna",760 000 zł,15 833 zł/m²,48 m²,3 pokoje
"Warszawa, Mokotów, Górny Mokotów, al. Niepodległości 33",750 000 zł,12 500 zł/m²,60 m²,2 pokoje
"Warszawa, Bemowo",850 000 zł,12 500 zł/m²,68 m²,3 pokoje
"Warszawa, Mokotów","2 642 069,31 zł",22 899 zł/m²,115.38 m²,4 pokoje
"Warszawa, Praga-Północ, Namysłowska",345 000 zł,15 682 zł/m²,22 m²,1 pokój
"Warszawa, Białołęka, Skarbka z Gór",775 000 zł,11 960 zł/m²,64.8 m²,3 pokoje
"Warszawa, Targówek, Bródno, ul. św. Wincentego",370 000 zł,14 800 zł/m²,25 m²,1 pokój
"Warszawa, Ursynów, Kłobucka",590 000 zł,13 409 zł/m²,44 m²,2 pokoje
"Warszawa, Wola",729 000 zł,11 829 zł/m²,61.63 m²,3 pokoje
"Warszawa, Praga-Południe, Saska Kępa, Argentyna",799 000 zł,17 756 zł/m²,45 m²,2 pokoje
"Warszawa, Mokotów, Bruna",660 000 zł,17 600 zł/m²,37.5 m²,1 pokój
"Warszawa, Wola",1 187 058 zł,18 490 zł/m²,64.2 m²,3 pokoje
"Warszawa, Ochota, Rakowiec",537 000 zł,11 401 zł/m²,47.1 m²,3 pokoje
"Warszawa, Śródmieście",2 399 000 zł,18 742 zł/m²,128 m²,6 pokoi
"Warszawa, Ochota, Barska",790 000 zł,14 495 zł/m²,54.5 m²,2 pokoje
"Warszawa, Mokotów, Sadyba, Konstancińska",580 000 zł,10 943 zł/m²,53 m²,2 pokoje
"Warszawa, Praga-Północ",580 000 zł,15 965 zł/m²,36.33 m²,2 pokoje
"Warszawa, Śródmieście, Powiśle, ul. Juliana Bartoszewicza 1b",1 373 760 zł,18 000 zł/m²,76.32 m²,3 pokoje
"Warszawa, Rembertów",499 000 zł,10 184 zł/m²,49 m²,2 pokoje
"Warszawa, Bemowo, Szeligowska",1 299 000 zł,13 158 zł/m²,98.72 m²,4 pokoje
"Warszawa, Śródmieście, Powiśle, Zajęcza",1 490 000 zł,41 481 zł/m²,35.92 m²,1 pokój
"Warszawa, Śródmieście, Emilii Plater",890 000 zł,14 833 zł/m²,60 m²,2 pokoje
"Warszawa, Ursynów",570 000 zł,12 391 zł/m²,46 m²,2 pokoje
"Warszawa, Praga-Południe, Grochów",477 000 zł,12 892 zł/m²,37 m²,2 pokoje
"Warszawa, Ursynów",418 500 zł,10 207 zł/m²,41 m²,1 pokój
"Warszawa, Bemowo",470 000 zł,12 051 zł/m²,39 m²,1 pokój
"Warszawa, Żoliborz, Sady Żoliborskie, ul. ks. Jerzego Popiełuszki",439 000 zł,11 553 zł/m²,38 m²,2 pokoje
"Warszawa, Mokotów",1 380 000 zł,19 437 zł/m²,71 m²,3 pokoje
"Warszawa, Śródmieście",580 000 zł,16 111 zł/m²,36 m²,2 pokoje
"Warszawa, Mokotów, Bruna",730 000 zł,12 415 zł/m²,58.8 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław, Jana Nowaka-Jeziorańskiego",699 000 zł,12 940 zł/m²,54.02 m²,3 pokoje
"Warszawa, Bielany, Stare Bielany, Stefana Żeromskiego",960 000 zł,15 000 zł/m²,64 m²,3 pokoje
"Warszawa, Śródmieście, Aleje Jerozolimskie",1 750 000 zł,22 727 zł/m²,77 m²,3 pokoje
"Warszawa, Mokotów, Górny Mokotów, Wojciecha Żywnego",688 000 zł,17 691 zł/m²,38.89 m²,2 pokoje
"Warszawa, Ursus, Apartamentowa",550 000 zł,11 000 zł/m²,50 m²,2 pokoje
"Warszawa, Mokotów, Mozarta",665 000 zł,14 425 zł/m²,46.1 m²,2 pokoje
"Warszawa, Praga-Południe, Gocław",650 000 zł,8904 zł/m²,73 m²,4 pokoje
"Warszawa, Bemowo, Apenińska",760 000 zł,10 857 zł/m²,70 m²,3 pokoje
"Warszawa, Mokotów, Grupy AK ""Północ""",690 000 zł,14 826 zł/m²,46.54 m²,2 pokoje
"Warszawa, Ochota, Szczęśliwice, Bitwy Warszawskiej 1920 r.",1 190 000 zł,11 475 zł/m²,103.7 m²,5 pokoi
"Warszawa, Śródmieście, Zgoda",1 140 000 zł,15 616 zł/m²,73 m²,3 pokoje
"Warszawa, Śródmieście",774 616 zł,21 950 zł/m²,35.29 m²,2 pokoje
"Warszawa, Praga-Południe, Saska Kępa",459 000 zł,12 079 zł/m²,38 m²,2 pokoje
"Warszawa, Śródmieście, Marszałkowska",645 000 zł,16 538 zł/m²,39 m²,2 pokoje
"Warszawa, Mokotów",735 000 zł,12 895 zł/m²,57 m²,3 pokoje
"Warszawa, Ursynów, Kabaty, Wąwozowa",599 000 zł,15 320 zł/m²,39.1 m²,2 pokoje
"Warszawa, Targówek, Ludwika Kondratowicza",600 000 zł,10 733 zł/m²,55.9 m²,2 pokoje
"Warszawa, Targówek, Bródno, Suwalska",455 000 zł,9479 zł/m²,48 m²,3 pokoje
"Warszawa, Praga-Południe, ul. gen. Tadeusza Bora-Komorowskiego 39A",1 250 000 zł,18 111 zł/m²,69.02 m²,3 pokoje
"Warszawa, Mokotów, ul. Białej Floty",2 199 000 zł,23 147 zł/m²,95 m²,4 pokoje
"Warszawa, Centrum, ul. Kolejowa",867 000 zł,20 163 zł/m²,43 m²,1 pokój
"Warszawa, Mokotów, Cieszyńska",598 000 zł,12 526 zł/m²,47.74 m²,3 pokoje
"Warszawa, Bemowo, ul. Uniejowska",435 000 zł,12 219 zł/m²,35.6 m²,2 pokoje
"Warszawa, Bielany, Dorycka 9",365 000 zł,14 959 zł/m²,24.4 m²,1 pokój
"Warszawa, Ursynów, Pyry, Wędrowców",1 370 000 zł,18 267 zł/m²,75 m²,3 pokoje
"Warszawa, Wola, Okocimska",519 000 zł,10 380 zł/m²,50 m²,3 pokoje
"Warszawa, Mokotów, Zygmunta Modzelewskiego",498 000 zł,13 833 zł/m²,36 m²,2 pokoje
"Warszawa, Mokotów, Aleja Niepodległości",565 000 zł,12 841 zł/m²,44 m²,2 pokoje
"Warszawa, Wilanów",1 759 000 zł,15 691 zł/m²,112.1 m²,4 pokoje
"Warszawa, Praga-Północ, Panieńska",486 000 zł,13 135 zł/m²,37 m²,2 pokoje
"Warszawa, Praga-Północ, Ratuszowa",380 000 zł,14 615 zł/m²,26 m²,1 pokój
"Warszawa, Białołęka, Tarchomin, Odkryta",458 000 zł,10 133 zł/m²,45.2 m²,2 pokoje
"Warszawa, Żoliborz, Hanki Czaki",847 000 zł,18 822 zł/m²,45 m²,2 pokoje
"Warszawa, Bielany, Marymoncka",2 449 920 zł,18 560 zł/m²,132 m²,3 pokoje
"Warszawa, Ursynów, Wyczółki, Kłobucka",617 000 zł,13 489 zł/m²,45.74 m²,2 pokoje
"Warszawa, Żoliborz, Zajączka",470 000 zł,13 429 zł/m²,35 m²,2 pokoje
"Warszawa, Mokotów",4 299 000 zł,15 031 zł/m²,286 m²,5 pokoi
"Warszawa, Mokotów",1 837 000 zł,15 510 zł/m²,118.44 m²,4 pokoje
"Warszawa, Wola","748 999,79 zł",15 286 zł/m²,49 m²,2 pokoje
"Warszawa, Mokotów, Stegny, Sardyńska",639 000 zł,9984 zł/m²,64 m²,4 pokoje
"Warszawa, Białołęka, Tarchomin, Sprawna",670 000 zł,11 453 zł/m²,58.5 m²,3 pokoje
"Warszawa, Śródmieście, Piękna",1 680 750 zł,27 000 zł/m²,62.25 m²,1 pokój
"Warszawa, Białołęka, Tarchomin, Dionizosa",330 000 zł,13 750 zł/m²,24 m²,1 pokój
"Warszawa, Praga-Północ, Nowa Praga",545 000 zł,11 978 zł/m²,45.5 m²,2 pokoje
"Warszawa, Mokotów, Fort Piłsudskiego",1 920 000 zł,30 000 zł/m²,64 m²,2 pokoje
"Warszawa, Białołęka",955 000 zł,7279 zł/m²,131.2 m²,4 pokoje
"Warszawa, Ochota, Mołdawska",765 000 zł,17 000 zł/m²,45 m²,2 pokoje
"Warszawa, Mokotów, Górny Mokotów, Wiartel",569 000 zł,11 518 zł/m²,49.4 m²,3 pokoje
"Warszawa, Wola, Mirów",480 000 zł,13 304 zł/m²,36.08 m²,2 pokoje
"Warszawa, Ursynów, Gajdy 8",1 800 000 zł,5143 zł/m²,350 m²,10 pokoi
"Warszawa, Wola, Marcina Kasprzaka",3 280 000 zł,20 024 zł/m²,163.8 m²,5 pokoi
"Warszawa, Śródmieście, Powiśle, Zajęcza",975 000 zł,27 144 zł/m²,35.92 m²,2 pokoje
"Warszawa, Mokotów, Czerniaków, Czerniakowska",419 000 zł,11 173 zł/m²,37.5 m²,2 pokoje
"Warszawa, Ursus, Tadeusza Hennela",910 000 zł,12 466 zł/m²,73 m²,3 pokoje
"Warszawa, Mokotów, Stegny, Katalońska",653 000 zł,11 599 zł/m²,56.3 m²,3 pokoje
"Warszawa, Bemowo, Chrzanów, Batalionów Chłopskich",802 000 zł,11 682 zł/m²,68.65 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław, gen. Tadeusza Bora-Komorowskiego",510 000 zł,13 710 zł/m²,37.2 m²,2 pokoje
"Warszawa, Ursus, Poczty Gdańskiej",599 000 zł,10 123 zł/m²,59.17 m²,3 pokoje
"Warszawa, Ochota, Władysława Korotyńskiego",535 000 zł,10 852 zł/m²,49.3 m²,2 pokoje
"Warszawa, Ochota, Siewierska",590 000 zł,12 664 zł/m²,46.59 m²,2 pokoje
"Warszawa, Mokotów, Domaniewska",480 000 zł,14 180 zł/m²,33.85 m²,1 pokój
"Warszawa, Śródmieście, okolica Elektoralnej i pl. Bankowego/zieleń/cisza/kamienica z 1950 r.",1 125 000 zł,17 045 zł/m²,66 m²,3 pokoje
"Warszawa, Wilanów, Adama Branickiego",937 500 zł,15 000 zł/m²,62.5 m²,2 pokoje
"Warszawa, Mokotów, Kłobucka",657 000 zł,14 102 zł/m²,46.59 m²,2 pokoje
"Warszawa, Wilanów, Aleja Wilanowska",790 000 zł,14 993 zł/m²,52.69 m²,2 pokoje
"Warszawa, Mokotów",1 015 000 zł,18 515 zł/m²,54.82 m²,2 pokoje
"Warszawa, Ochota, Filtry",662 752 zł,14 695 zł/m²,45.1 m²,2 pokoje
"Warszawa, Praga-Północ, al. Tysiąclecia",660 000 zł,11 092 zł/m²,59.5 m²,3 pokoje
"Warszawa, Bielany, ul. Sokratesa",1 199 000 zł,15 776 zł/m²,76 m²,3 pokoje
"Warszawa, Wola, Łucka",1 800 000 zł,13 953 zł/m²,129 m²,4 pokoje
"Warszawa, Praga-Południe, Konrada Guderskiego",600 000 zł,11 858 zł/m²,50.6 m²,2 pokoje
"Warszawa, Mokotów, Marzanny",535 000 zł,18 972 zł/m²,28.2 m²,2 pokoje
"Warszawa, Ursus, Ryżowa",720 000 zł,11 594 zł/m²,62.1 m²,2 pokoje
"Warszawa, Ochota, Filtry, Filtrowa",2 500 000 zł,24 272 zł/m²,103 m²,4 pokoje
"Warszawa, Ochota, Ludwika Pasteura",1 000 070 zł,10 859 zł/m²,92.1 m²,3 pokoje
"Warszawa, Ursus, Gołąbki, Henryka I Brodatego",919 000 zł,10 781 zł/m²,85.24 m²,4 pokoje
"Warszawa, Ursynów",670 000 zł,11 964 zł/m²,56 m²,3 pokoje
"Warszawa, Śródmieście, ul. Podwale",1 183 000 zł,14 994 zł/m²,78.9 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław, Złotej Wilgi",655 000 zł,10 953 zł/m²,59.8 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław, Władysława Umińskiego",739 000 zł,11 656 zł/m²,63.4 m²,3 pokoje
"Warszawa, Wola",660 000 zł,13 895 zł/m²,47.5 m²,2 pokoje
"Warszawa, Ochota",1 200 000 zł,14 458 zł/m²,83 m²,3 pokoje
"Warszawa, Ochota, Karola Bohdanowicza",739 000 zł,13 335 zł/m²,55.42 m²,2 pokoje
"Warszawa, Mokotów",2 399 000 zł,21 230 zł/m²,113 m²,3 pokoje
"Warszawa, Żoliborz",4 400 000 zł,27 673 zł/m²,159 m²,4 pokoje
"Warszawa, Żoliborz",4 780 000 zł,25 699 zł/m²,186 m²,4 pokoje
"Warszawa, Wola",619 000 zł,16 289 zł/m²,38 m²,2 pokoje
"Warszawa, Ochota, Gorlicka",480 000 zł,10 323 zł/m²,46.5 m²,2 pokoje
"Warszawa, Targówek, ks. Piotra Skargi",465 000 zł,9118 zł/m²,51 m²,2 pokoje
"Warszawa, Praga-Południe",969 000 zł,16 313 zł/m²,59.4 m²,3 pokoje
"Warszawa, Wola, Jana Kazimierza",695 000 zł,15 513 zł/m²,44.8 m²,2 pokoje
"Warszawa, Praga-Południe, Grochów, Giuseppe Garibaldiego",1 350 000 zł,11 519 zł/m²,117.2 m²,4 pokoje
"Warszawa, Mokotów, Jana III Sobieskiego",2 140 000 zł,15 852 zł/m²,135 m²,4 pokoje
"Warszawa, Ochota, Aleje Jerozolimskie",524 963 zł,13 999 zł/m²,37.5 m²,2 pokoje
"Warszawa, Wola, ul. Juliusza Ordona",500 000 zł,19 201 zł/m²,26.04 m²,1 pokój
"Warszawa, Bielany, ul. Starej Baśni",630 000 zł,13 696 zł/m²,46 m²,3 pokoje
"Warszawa, Białołęka, Żerań, Marywilska",409 500 zł,10 776 zł/m²,38 m²,2 pokoje
"Warszawa, Śródmieście, Stare Miasto, Brzozowa",1 999 000 zł,29 013 zł/m²,68.9 m²,2 pokoje
"Warszawa, Wola, Odolany",924 000 zł,12 353 zł/m²,74.8 m²,4 pokoje
"Warszawa, Wilanów, ul. Sarmacka",867 600 zł,18 910 zł/m²,45.88 m²,2 pokoje
"Warszawa, Mokotów, Bukietowa",638 000 zł,13 574 zł/m²,47 m²,2 pokoje
"Warszawa, Praga-Południe, Grochów",750 000 zł,12 777 zł/m²,58.7 m²,3 pokoje
"Warszawa, Bemowo, Karabeli",620 000 zł,9254 zł/m²,67 m²,3 pokoje
"Warszawa, Wola, Młynów, Gibalskiego",450 000 zł,13 200 zł/m²,34.09 m²,1 pokój
"Warszawa, Targówek, Bródno, Rembielińska",599 000 zł,10 696 zł/m²,56 m²,2 pokoje
"Warszawa, Ochota, Szczęśliwice",1 150 000 zł,13 466 zł/m²,85.4 m²,3 pokoje
"Warszawa, Praga-Południe, Saska Kępa",760 000 zł,16 170 zł/m²,47 m²,3 pokoje
"Warszawa, Mokotów, ul. Cybernetyki",700 000 zł,16 279 zł/m²,43 m²,2 pokoje
"Warszawa, Targówek, Piotra Wysockiego",439 000 zł,11 553 zł/m²,38 m²,2 pokoje
"Warszawa, Ursus, Herbu Oksza",534 330 zł,13 500 zł/m²,39.58 m²,2 pokoje
"Warszawa, Mokotów",660 000 zł,15 399 zł/m²,42.86 m²,2 pokoje
"Warszawa, Ursynów",890 000 zł,12 448 zł/m²,71.5 m²,3 pokoje
"Warszawa, Bemowo, Pirenejska",625 000 zł,9986 zł/m²,62.59 m²,3 pokoje
"Warszawa, Ursynów",669 000 zł,15 205 zł/m²,44 m²,2 pokoje
"Warszawa, Białołęka, Płochocińska",440 000 zł,7792 zł/m²,56.47 m²,3 pokoje
"Warszawa, Mokotów, Śniardwy",450 000 zł,11 842 zł/m²,38 m²,2 pokoje
"Warszawa, Mokotów, ul. Orzycka",620 000 zł,10 977 zł/m²,56.48 m²,3 pokoje
"Warszawa, Ursus, Posag 7 Panien",455 000 zł,10 486 zł/m²,43.39 m²,2 pokoje
"Warszawa, Ochota, ul. Józefa Siemieńskiego","189 146,25 zł",4274 zł/m²,44.25 m²,3 pokoje
"Warszawa, Ochota, Stara Ochota",629 000 zł,13 674 zł/m²,46 m²,2 pokoje
"Warszawa, Białołęka, ul. Skarbka z Gór",315 000 zł,11 667 zł/m²,27 m²,1 pokój
"Warszawa, Mokotów, Zwierzyniecka",470 000 zł,11 750 zł/m²,40 m²,2 pokoje
"Warszawa, Żoliborz",920 000 zł,20 444 zł/m²,45 m²,2 pokoje
"Warszawa, Wola, ul. Wolska",2 299 000 zł,18 246 zł/m²,126 m²,5 pokoi
"Warszawa, Wilanów, Aleja Rzeczypospolitej",958 000 zł,14 256 zł/m²,67.2 m²,2 pokoje
"Warszawa, Białołęka, Skarbka z Gór",820 000 zł,10 000 zł/m²,82 m²,3 pokoje
"Warszawa, Śródmieście, Rozbrat",660 000 zł,30 698 zł/m²,21.5 m²,1 pokój
"Warszawa, Mokotów",1 250 000 zł,22 321 zł/m²,56 m²,2 pokoje
"Warszawa, Bemowo",650 000 zł,10 400 zł/m²,62.5 m²,3 pokoje
"Warszawa, Wola",495 000 zł,12 670 zł/m²,39.07 m²,1 pokój
"Warszawa, Mokotów, Czerniaków, Melomanów",1 330 000 zł,16 709 zł/m²,79.6 m²,3 pokoje
"Warszawa, Wawer",699 000 zł,4161 zł/m²,168 m²,6 pokoi
"Warszawa, Śródmieście, Orla",735 000 zł,15 506 zł/m²,47.4 m²,2 pokoje
"Warszawa, Praga-Południe, Grochów, Łukowska",990 000 zł,11 498 zł/m²,86.1 m²,4 pokoje
"Warszawa, Wola",959 000 zł,11 282 zł/m²,85 m²,3 pokoje
"Warszawa, Wola",789 000 zł,13 842 zł/m²,57 m²,4 pokoje
"Warszawa, Śródmieście, ul. Tadeusza Boya-Żeleńskiego",1 080 000 zł,16 875 zł/m²,64 m²,2 pokoje
"Warszawa, Praga-Południe, Władysława Umińskiego",699 000 zł,11 202 zł/m²,62.4 m²,3 pokoje
"Warszawa, Mokotów, Stegny, Marsylska",629 000 zł,11 152 zł/m²,56.4 m²,3 pokoje
"Warszawa, Wola, Wieluńska",590 000 zł,11 941 zł/m²,49.41 m²,2 pokoje
"Warszawa, Targówek, Targówek Mieszkaniowy, św. Wincentego",380 000 zł,15 794 zł/m²,24.06 m²,1 pokój
"Warszawa, Praga-Południe, Mińska",398 893 zł,15 527 zł/m²,25.69 m²,1 pokój
"Warszawa, Praga-Południe, Mińska",487 763 zł,14 930 zł/m²,32.67 m²,2 pokoje
"Warszawa, Praga-Południe, Grochowska",365 355 zł,11 500 zł/m²,31.77 m²,2 pokoje
"Warszawa, Wola, Muranów, Jana Pawła II",1 780 000 zł,18 916 zł/m²,94.1 m²,4 pokoje
"Warszawa, Włochy, Okęcie",585 000 zł,13 765 zł/m²,42.5 m²,2 pokoje
