Location,Price,Price per m2,Size M2,Rooms
"Warszawa, Wola, ul. Jana Kazimierza",865 000 zł,16 895 zł/m²,51.2 m²,2 pokoje
"Warszawa, Praga-Północ, Pl. Hallera 8",599 000 zł,17 618 zł/m²,34 m²,2 pokoje
"Warszawa, Ursynów, ul. Polinezyjska",543 000 zł,9394 zł/m²,57.8 m²,2 pokoje
"Warszawa, Ursynów, ul. Polinezyjska",543 000 zł,9394 zł/m²,57.8 m²,3 pokoje
"Warszawa, Włochy, Stawy",1 070 000 zł,11 750 zł/m²,91.06 m²,3 pokoje
"Warszawa, Ursynów, Nowoursynowska",1 175 000 zł,12 772 zł/m²,92 m²,4 pokoje
"Warszawa, Praga-Południe, Jugosłowiańska",1 340 000 zł,13 958 zł/m²,96 m²,4 pokoje
"Warszawa, Ursynów",1 750 000 zł,22 152 zł/m²,79 m²,3 pokoje
"Warszawa, Ursynów, Kłobucka",1 250 000 zł,15 727 zł/m²,79.48 m²,4 pokoje
"Warszawa, Mokotów, al. Aleja gen. Władysława Sikorskiego",675 000 zł,16 960 zł/m²,39.8 m²,2 pokoje
"Warszawa, Bemowo, Wacława Borowego",1 140 000 zł,12 849 zł/m²,88.72 m²,3 pokoje
"Warszawa, Praga-Północ, Starzyńskiego",580 000 zł,10 302 zł/m²,56.3 m²,3 pokoje
"Warszawa, Żoliborz, Gwiaździsta",2 000 000 zł,14 588 zł/m²,137.1 m²,4 pokoje
"Warszawa, Ursynów, Makolągwy",720 000 zł,10 573 zł/m²,68.1 m²,3 pokoje
"Warszawa, Ursynów, Filipiny Płaskowickiej",725 000 zł,13 134 zł/m²,55.2 m²,2 pokoje
"Warszawa, Praga-Północ, Siedlecka",540 000 zł,10 800 zł/m²,50 m²,2 pokoje
"Warszawa, Wilanów, al. Rzeczypospolitej",1 240 000 zł,19 555 zł/m²,63.41 m²,3 pokoje
"Warszawa, Ochota, Włodarzewska",1 069 000 zł,13 723 zł/m²,77.9 m²,3 pokoje
"Warszawa, Mokotów, Dolny Mokotów, Jana III Sobieskiego",780 000 zł,16 546 zł/m²,47.14 m²,2 pokoje
"Warszawa, Mokotów, Bluszczańska",855 000 zł,15 872 zł/m²,53.87 m²,3 pokoje
"Warszawa, Bemowo, Górczewska",1 050 000 zł,11 990 zł/m²,87.57 m²,4 pokoje
"Warszawa, Ochota, Włodarzewska",1 710 000 zł,12 316 zł/m²,138.84 m²,5 pokoi
"Warszawa, Żoliborz, Mickiewicza",1 230 000 zł,18 552 zł/m²,66.3 m²,2 pokoje
"Warszawa, Bemowo, Strzelców",860 000 zł,12 464 zł/m²,69 m²,3 pokoje
"Warszawa, Mokotów, Aleja Wilanowska",1 620 000 zł,16 497 zł/m²,98.2 m²,3 pokoje
"Warszawa, Targówek, Łodygowa",640 000 zł,11 181 zł/m²,57.24 m²,3 pokoje
"Warszawa, Ursynów, Eugeniusza Lokajskiego",755 000 zł,12 668 zł/m²,59.6 m²,3 pokoje
"Warszawa, Ochota, Szczęśliwicka",2 220 000 zł,19 754 zł/m²,112.38 m²,4 pokoje
"Warszawa, Wola, Banderii",750 000 zł,13 587 zł/m²,55.2 m²,2 pokoje
"Warszawa, Białołęka, Pasłęcka",515 000 zł,9923 zł/m²,51.9 m²,3 pokoje
"Warszawa, Białołęka, Krokwi",580 000 zł,10 565 zł/m²,54.9 m²,3 pokoje
"Warszawa, Wola, Radziwie",590 000 zł,16 200 zł/m²,36.42 m²,2 pokoje
"Warszawa, Żoliborz, Krasińskiego",1 350 000 zł,18 750 zł/m²,72 m²,3 pokoje
